,Date,Wallet,Token,Sell Basis,Buy Basis,Buy Date,Buy Lot,Period,Amount,Profit
0,2021-05-04,Coinbase Pro,USDC,0.9999726977910728,1.0,2021-05-04,1591.43,0 days,111.55500000000006,-0.0030456979168755477
1,2021-05-12,Coinbase,USDC,1.0018008648423171,1.0,2021-05-04,1591.43,8 days,50.0,0.0900432421158559
2,2021-05-19,Coinbase Pro,USDC,1.0,1.0,2021-05-04,1591.43,15 days,476.8900000000001,0.0
3,2021-10-02,Coinbase Pro,USDC,1.0020170321137416,1.0,2021-05-04,1591.43,151 days,226.125,0.4561013867198196
4,2021-10-04,Coinbase Pro,USDC,1.0,1.0,2021-05-04,1591.43,153 days,500.0,0.0
5,2021-10-09,Coinbase Pro,USDC,0.9996156903667468,1.0,2021-05-04,1591.43,158 days,179.89499999999998,-0.06913538147408427
6,2021-10-11,Coinbase Pro,USDC,1.0,1.0,2021-05-04,1591.43,160 days,1000.0,0.0
7,2021-10-15,Coinbase Pro,USDC,1.0013608362328688,1.0,2021-05-04,1591.43,164 days,189.6937499999999,0.2581421281487475
8,2021-10-15,Coinbase Pro,USDC,1.0013608362328688,1.0,2021-05-04,1591.43,164 days,216.07500000000005,0.29404268901711655
9,2021-10-15,Coinbase Pro,USDC,1.0013608362328688,1.0,2021-05-04,1591.43,164 days,216.5775000000001,0.2947265092241332
10,2021-10-15,Coinbase Pro,USDC,1.0013608362328688,1.0,2021-05-04,1591.43,164 days,216.77850000000012,0.29500003730693986
11,2021-10-16,Coinbase Pro,USDC,1.0052069403859871,1.0,2021-05-04,1591.43,165 days,223.1099999999999,1.161720469517587
12,2021-10-17,Coinbase Pro,USDC,1.0024479734992968,1.0,2021-05-04,1591.43,166 days,215.5725,0.5277157671771633
13,2021-10-19,Coinbase Pro,USDC,1.0003859156803765,1.0,2021-05-04,1591.43,168 days,125.625,0.048480657347296785
14,2021-10-19,Coinbase Pro,USDC,1.0003859156803765,1.0,2021-05-04,1591.43,168 days,190.95000000000005,0.07369059916789113
15,2021-10-20,Coinbase Pro,USDC,1.0,1.0,2021-05-04,1591.43,169 days,1500.0,0.0
16,2021-10-26,Coinbase Pro,USDC,1.0,1.0,2021-05-04,1591.43,175 days,1591.43,0.0
17,2021-10-26,Coinbase Pro,USDC,1.0,1.0,2021-05-04,50.0,175 days,50.0,0.0
18,2021-10-26,Coinbase Pro,USDC,1.0,1.0006914837242176,2021-06-02,0.001694,146 days,0.001694,-1.1713734288245593e-06
19,2021-10-26,Coinbase Pro,USDC,1.0,1.0,2021-10-01,11374.38,25 days,729.1983060000002,0.0
20,2021-12-12,Coinbase Pro,USDC,0.997664222186558,1.0,2021-05-04,1591.43,222 days,998.9990899,-2.3334399098371335
21,2022-02-11,Metamask,UNI,11.46695508483038,26.071048962399303,2021-11-02,34.600449,101 days,34.600449,-505.30820540203575
22,2022-02-11,Metamask,UNI,11.46695508483038,26.07088998893539,2021-11-02,15.399551,101 days,15.399551,-224.89404035644526
23,2022-02-11,Metamask,UNI,11.46695508483038,16.230666666666668,2021-12-10,15.0,63 days,15.0,-71.45567372754432
24,2022-02-11,Metamask,UNI,11.46695508483038,14.572666666666668,2021-12-20,15.0,53 days,15.0,-46.58567372754433
25,2022-02-11,Metamask,UNI,11.46695508483038,16.080000000000002,2022-01-18,20.0,24 days,19.408851999999996,-89.53390602787974
26,2021-10-28,Coinbase Pro,USDT,1.001533833075547,1.0006059193661152,2021-10-28,214.55,0 days,11.83796787,0.010984612678386088
27,2021-10-28,Coinbase Pro,USDT,1.001533833075547,1.0006059193661152,2021-10-28,214.55,0 days,21.176642920000006,0.019650097285209733
28,2021-10-28,Coinbase Pro,USDT,1.001533833075547,1.0006059193661152,2021-10-28,214.55,0 days,8.399888720000007,0.007794371900989487
29,2021-10-28,Coinbase Pro,USDT,1.001533833075547,1.0006059193661152,2021-10-28,214.55,0 days,20.69007787000001,0.019198606904784372
30,2021-10-28,Coinbase Pro,USDT,1.001533833075547,1.0006059193661152,2021-10-28,214.55,0 days,152.4453609,0.1414561403183875
31,2020-02-06,Coinbase,LTC,72.50229101409012,354.99562175024806,2017-12-12,0.56338723,786 days,0.56338723,-159.15313509691788
32,2020-02-06,Coinbase,LTC,72.50229101409012,325.073814511061,2017-12-13,0.30762244,785 days,0.30762243999999994,-77.6966683326555
33,2022-01-23,Coinbase Pro,ADA,1.071909388330883,2.01,2021-05-17,50.0,251 days,50.0,-46.90453058345584
34,2022-01-23,Coinbase Pro,ADA,1.071909388330883,1.306533333333333,2021-07-12,75.0,195 days,75.0,-17.59679587518376
35,2022-01-23,Coinbase Pro,ADA,1.071909388330883,1.2662666666666669,2021-07-29,75.0,178 days,75.0,-14.576795875183791
