Date,Wallet,Token,Amount,Basis,Value,Fee,Profit,Type
12/12/2017,Coinbase,USD,200,354.9956218,200,0,0,buy-out
12/12/2017,Coinbase,LTC,0.56338723,354.9956218,200,5.85,0,buy-in
13-12-2017,Coinbase,USD,100,325.0738145,100,0,0,buy-out
13-12-2017,Coinbase,LTC,0.30762244,325.0738145,100,3.41,0,buy-in
13-12-2017,Coinbase,USD,300,16833.70377,300,0,0,buy-out
13-12-2017,Coinbase,BTC,0.01782139,16833.70377,300,9.26,0,buy-in
15-12-2017,Coinbase,USD,100,704.344049,100,0,0,buy-out
15-12-2017,Coinbase,ETH,0.14197607,704.344049,100,3.41,0,buy-in
21-12-2017,Coinbase,USD,100,16686.80207,100,0,0,buy-out
21-12-2017,Coinbase,BTC,0.00599276,16686.80207,100,3.41,0,buy-in
31-12-2017,Coinbase,BTC,0.00894174,14856.53374,132.843262,16.94295438,0,send
31-12-2017,Binance,BTC,0.0078,14839.59079,115.7488081,0,0,receive
31-12-2017,Binance,BTC,0.0065375,3.88055299,97.01382476,0,0,trade-sell
31-12-2017,Binance,MIOTA,25,3.88055299,97.01382476,0.025,0,trade-buy
5/1/2018,Coinbase,BTC,0.01487241,18356.862,273.010778,19.93901994,0,send
5/1/2018,Binance,BTC,0.01378504,18336.92298,252.7752168,0,0,receive
5/1/2018,Binance,BTC,0.004,0.733476919,73.34769192,0,0,trade-sell
5/1/2018,Binance,XLM,100,0.733476919,73.34769192,0.1,0,trade-buy
9/1/2018,Binance,BTC,0.005512,1.654100681,86.01323543,0,0,trade-sell
9/1/2018,Binance,POWR,52,1.654100681,86.01323543,0.052,0,trade-buy
9/1/2018,Binance,BTC,0.005508,56.17700427,85.95081653,0,0,trade-sell
9/1/2018,Binance,QTUM,1.53,56.17700427,85.95081653,0.00153,0,trade-buy
10/1/2018,Coinbase,USD,206,14747.71035,206,0,0,buy-out
10/1/2018,Coinbase,BTC,0.01396827,14747.71035,206,6,0,buy-in
4/5/2018,Coinbase,USD,100,10043.53874,100,0,0,buy-out
4/5/2018,Coinbase,BTC,0.00995665,10043.53874,100,3.41,0,buy-in
30-05-2018,Coinbase,USD,100,573.3637231,100,0,0,buy-out
30-05-2018,Coinbase,ETH,0.17440936,573.3637231,100,1,0,buy-in
12/7/2018,Coinbase,USD,100,452.1739461,100,0,0,buy-out
12/7/2018,Coinbase,ETH,0.22115383,452.1739461,100,1,0,buy-in
26-07-2018,Coinbase,USD,100,492.647871,100,0,0,buy-out
26-07-2018,Coinbase,ETH,0.20298474,492.647871,100,2.99,0,buy-in
2/9/2018,Coinbase,USD,100,7542.046912,100,0,0,buy-out
2/9/2018,Coinbase,BTC,0.013259,7542.046912,100,2.99,0,buy-in
2/9/2018,Coinbase,USD,100,303.3854755,100,0,0,buy-out
2/9/2018,Coinbase,ETH,0.32961367,303.3854755,100,2.99,0,buy-in
5/9/2018,Coinbase,BTC,0.0147995,6756.985033,100,2.99,0,sell-out
5/9/2018,Coinbase,USD,100,6756.985033,100,0,0,sell-in
5/9/2018,Coinbase,ETH,0.40150325,249.0639864,100,2.99,0,sell-out
5/9/2018,Coinbase,USD,100,249.0639864,100,0,0,sell-in
14-09-2018,Coinbase,USD,200,1,200,0,0,withdraw
14-09-2018,Coinbase,USD,200,1,200,0,0,deposit
21-09-2018,Coinbase,USD,200,1,200,0,0,send
24-09-2018,Coinbase Pro,USD,200,235.0000027,200,0,0,buy-out
24-09-2018,Coinbase Pro,ETH,0.85106382,235.0000027,200,0,0,buy-in
24-09-2018,Coinbase Pro,ETH,0.85106382,244.7847955,208.3274831,0,0,transfer-out
24-09-2018,Coinbase,ETH,0.85106382,244.7847955,208.3274831,0,0,transfer-in
24-09-2018,Coinbase,ETH,0.85106382,244.7847955,208.3274831,0,0,transfer-out
24-09-2018,Binance,ETH,0.85106382,244.7847955,208.3274831,0,0,transfer-in
24-09-2018,Binance,ETH,0.424375,0.593603129,103.8805476,0,0,trade-sell
24-09-2018,Binance,MIOTA,175,0.593603129,103.8805476,0.175,0,trade-buy
24-09-2018,Binance,ETH,0.42601,0.276606819,104.2807707,0,0,trade-sell
24-09-2018,Binance,XLM,377,0.276606819,104.2807707,0.377,0,trade-buy
2/10/2018,Coinbase Pro,USD,1800,1,1800,0,0,receive
2/10/2018,Coinbase,USD,1800,1,1800,0,0,deposit
9/10/2018,Coinbase,USD,1800,1,1800,0,0,send
14-10-2018,Coinbase Pro,USD,100,190.0057002,100,0,0,buy-out
14-10-2018,Coinbase Pro,ETH,0.5263,190.0057002,100,0,0,buy-in
17-10-2018,Coinbase Pro,ETH,0.5263,212.4442865,111.809428,0,0,transfer-out
17-10-2018,Coinbase,ETH,0.5263,212.4442865,111.809428,0,0,transfer-in
17-10-2018,Coinbase,ETH,0.5263,212.4442865,111.809428,0,0,transfer-out
17-10-2018,Binance,ETH,0.5263,212.4442865,111.809428,0,0,transfer-in
18-10-2018,Coinbase Pro,USD,200,200,200,0,0,buy-out
18-10-2018,Coinbase Pro,ETH,1,200,200,0,0,buy-in
24-10-2018,Coinbase Pro,ETH,1,204.0839456,204.0839456,0,0,transfer-out
24-10-2018,Coinbase,ETH,1,204.0839456,204.0839456,0,0,transfer-in
24-10-2018,Coinbase,ETH,1,204.0839456,204.0839456,0,0,transfer-out
24-10-2018,Binance,ETH,1,204.0839456,204.0839456,0,0,transfer-in
25-10-2018,Coinbase Pro,USD,400,200,400,0,0,buy-out
25-10-2018,Coinbase Pro,ETH,2,200,400,0,0,buy-in
25-10-2018,Coinbase Pro,USD,640,6400,640,0,0,buy-out
25-10-2018,Coinbase Pro,BTC,0.1,6400,640,0,0,buy-in
25-10-2018,Binance,ETH,0.38142,0.238120973,77.62743706,0,0,trade-sell
25-10-2018,Binance,XLM,326,0.238120973,77.62743706,0.326,0,trade-buy
26-10-2018,Binance,ETH,0.28438,0.487670785,57.54515261,0,0,trade-sell
26-10-2018,Binance,MIOTA,118,0.487670785,57.54515261,0.118,0,trade-buy
8/11/2018,Coinbase Pro,USD,215,215,215,0,0,buy-out
8/11/2018,Coinbase Pro,ETH,1,215,215,0,0,buy-in
8/11/2018,Coinbase Pro,USD,245,209.9974272,245,0,0,buy-out
8/11/2018,Coinbase Pro,ETH,1.16668096,209.9974272,245,0,0,buy-in
13-11-2018,Binance,ETH,0.2142,0.269862559,45.33690996,0,0,trade-sell
13-11-2018,Binance,XLM,168,0.269862559,45.33690996,0.168,0,trade-buy
23-11-2018,Coinbase Pro,ETH,4.16668096,126.0663876,525.2784169,0,0,transfer-out
23-11-2018,Coinbase,ETH,4.16668096,126.0663876,525.2784169,0,0,transfer-in
23-11-2018,Coinbase,ETH,4.16668096,126.0663876,525.2784169,0,0,transfer-out
23-11-2018,Binance,ETH,4.16668096,126.0663876,525.2784169,0,0,transfer-in
28-11-2018,Binance,ETH,0.24933271,0.147246223,27.53504376,0,0,trade-sell
28-11-2018,Binance,XLM,187,0.147246223,27.53504376,0.187,0,trade-buy
28-11-2018,Binance,ETH,0.25,0.276087359,27.6087359,0,0,trade-sell
28-11-2018,Binance,MIOTA,100,0.276087359,27.6087359,0.1,0,trade-buy
30-04-2019,Coinbase,XLM,20.1587502,0.095477046,1.924697924,0,0,receive
30-04-2019,Coinbase,XLM,20.1537733,0.095477046,1.924222745,0,0,receive
30-04-2019,Coinbase,XLM,20.1486974,0.095477046,1.923738113,0,0,receive
30-04-2019,Coinbase,XLM,20.1497124,0.095477046,1.923835022,0,0,receive
30-04-2019,Coinbase,XLM,20.1383505,0.095477046,1.922750221,0,0,receive
30-04-2019,Coinbase,BAT,2.56275876,0.375410418,0.962086336,0,0,receive
30-04-2019,Coinbase,BAT,2.56290326,0.375410418,0.962140583,0,0,receive
30-04-2019,Coinbase,BAT,2.56487861,0.375410418,0.96288215,0,0,receive
30-04-2019,Coinbase,BAT,17.95415023,0.375410418,6.740175034,0,0,receive
27-06-2019,Binance,ETH,4.30432707,337.3409578,1452.025817,0,0,transfer-out
27-06-2019,Coinbase,ETH,4.30432707,337.3409578,1452.025817,0,0,transfer-in
27-06-2019,Binance,MIOTA,111,340.9455198,49.40734264,0,0,trade-sell
27-06-2019,Binance,ETH,0.14491272,340.9455198,49.40734264,0.00014491,0,trade-buy
27-06-2019,Binance,MIOTA,191,340.950743,85.01623824,0,0,trade-sell
27-06-2019,Binance,ETH,0.2493505,340.950743,85.01623824,0.00024935,0,trade-buy
27-06-2019,Binance,MIOTA,115,340.9951468,51.18778742,0,0,trade-sell
27-06-2019,Binance,ETH,0.15011295,340.9951468,51.18778742,0.00015011,0,trade-buy
27-06-2019,Binance,ETH,0.5338318,337.3409578,180.0833307,0,0,transfer-out
27-06-2019,Coinbase,ETH,0.5338318,337.3409578,180.0833307,0,0,transfer-in
27-06-2019,Coinbase,ETH,4.30432707,337.3409578,1452.025817,0,0,transfer-out
27-06-2019,Coinbase Pro,ETH,4.30432707,337.3409578,1452.025817,0,0,transfer-in
27-06-2019,Coinbase,ETH,0.5338318,337.3409578,180.0833307,0,0,transfer-out
27-06-2019,Coinbase Pro,ETH,0.5338318,337.3409578,180.0833307,0,0,transfer-in
10/7/2019,Binance,XLM,1156.832,0.101592619,117.5255924,0,0,transfer-out
10/7/2019,Coinbase,XLM,1156.832,0.101592619,117.5255924,0,0,transfer-in
10/7/2019,Coinbase,XLM,1156.832,0.101592619,117.5255924,0,0,transfer-out
10/7/2019,Coinbase Pro,XLM,1156.832,0.101592619,117.5255924,0,0,transfer-in
