"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
12/12/2017 18:27:37,Buy,,0.56338723,LTC,...,...,Coinbase - LTC Wallet,,,Bought Litecoin Using Visa debit ********6305,200.00,USD,...,...,Coinbase - USD Wallet,,,Bought Litecoin Using Visa debit ********6305,5.85,USD,...,
12/13/2017 04:22:41,Buy,,0.30762244,LTC,...,...,Coinbase - LTC Wallet,,,Bought Litecoin Using Visa debit ********6305,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Litecoin Using Visa debit ********6305,3.41,USD,...,
12/13/2017 18:35:49,Buy,,0.01782139,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Visa debit ********6305,300.00,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Visa debit ********6305,9.26,USD,...,
12/15/2017 06:34:23,Buy,,0.14197607,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using Visa debit ********6305,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using Visa debit ********6305,3.41,USD,...,
12/21/2017 16:13:38,Buy,,0.00599276,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Visa debit ********6305,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Visa debit ********6305,3.41,USD,...,
12/31/2017 10:28:46,Send,,,,...,...,,,,,0.00894174,BTC,...,...,Coinbase - BTC Wallet,1Aw8fBYBnEKM2pGav7NueyUoYFDNToVByG,,Sent Bitcoin To Bitcoin address,0.00114174,BTC,...,
12/31/2017 10:53:15,Receive,,0.00780000,BTC,...,...,Binance - BTC,1Aw8fBYBnEKM2pGav7NueyUoYFDNToVByG,,,,,...,...,,,,,,,...,
12/31/2017 19:27:54,Trade,,25.00000000,MIOTA,...,...,Binance - MIOTA,,,,0.00653750,BTC,...,...,Binance - BTC,,,,0.02500000,MIOTA,...,
01/05/2018 09:03:18,Send,,,,...,...,,,,,0.01487241,BTC,...,...,Coinbase - BTC Wallet,1Aw8fBYBnEKM2pGav7NueyUoYFDNToVByG,,Sent Bitcoin To Bitcoin address,0.00108737,BTC,...,
01/05/2018 21:11:33,Receive,,0.01378504,BTC,...,...,Binance - BTC,1Aw8fBYBnEKM2pGav7NueyUoYFDNToVByG,,,,,...,...,,,,,,,...,
01/05/2018 22:13:01,Trade,,100.00000000,XLM,...,...,Binance - XLM,,,,0.00400000,BTC,...,...,Binance - BTC,,,,0.10000000,XLM,...,
01/09/2018 10:08:24,Trade,,52.00000000,POWR,...,...,Binance - POWR,,,,0.00551200,BTC,...,...,Binance - BTC,,,,0.05200000,POWR,...,
01/09/2018 13:16:31,Trade,,1.53000000,QTUM,...,...,Binance - QTUM,,,,0.00550800,BTC,...,...,Binance - BTC,,,,0.00153000,QTUM,...,
